rainTS,roofFlow,inflow,tankInflow,tankSpill,tankVolSim,demand,supply
0,0,0,0,0,0,221.53875,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0.3,15,0,0,0,0,179.231,0
0.1,5,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
10.8,540,490,490,0,310.769,179.231,179.231
0,0,0,0,0,131.538,179.231,179.231
0,0,0,0,0,0,179.231,131.538
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
3.5,175,125,125,0,0,179.231,125
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,179.231,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0.1,5,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,183.665,0
0,0,0,0,0,0,183.665,0
0,0,0,0,0,0,183.665,0
0,0,0,0,0,0,183.665,0
0.3,15,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0.6,30,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
0,0,0,0,0,0,148.932,0
1.7,85,35,35,0,0,148.932,35
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,141.1725,0
0,0,0,0,0,0,141.1725,0
0,0,0,0,0,0,141.1725,0
0,0,0,0,0,0,141.1725,0
0,0,0,0,0,0,141.1725,0
0,0,0,0,0,0,141.1725,0
0,0,0,0,0,0,141.1725,0
0,0,0,0,0,0,141.1725,0
0,0,0,0,0,0,141.1725,0
0,0,0,0,0,0,141.1725,0
0,0,0,0,0,0,141.1725,0
0,0,0,0,0,0,141.1725,0
0,0,0,0,0,0,141.1725,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
3.6,180,130,130,0,15.062,114.938,114.938
1.9,95,95,95,0,0,114.938,110.062
0,0,0,0,0,0,114.938,0
0,0,0,0,0,0,114.938,0
2.1,105,55,55,0,0,114.938,55
0.2,10,10,10,0,0,114.938,10
2.4,120,120,120,0,5.06200000000001,114.938,114.938
0,0,0,0,0,0,57.296,5.06200000000001
2.2,110,60,60,0,2.70400000000001,57.296,57.296
1.3,65,65,65,0,10.408,57.296,57.296
0.7,35,35,35,0,0,57.296,45.408
0,0,0,0,0,0,57.296,0
0,0,0,0,0,0,57.296,0
0,0,0,0,0,0,57.296,0
0,0,0,0,0,0,57.296,0
0.5,25,0,0,0,0,57.296,0
0.2,10,0,0,0,0,57.296,0
0,0,0,0,0,0,57.296,0
3.7,185,135,135,0,77.704,57.296,57.296
0,0,0,0,0,20.408,57.296,57.296
0,0,0,0,0,0,57.296,20.408
0,0,0,0,0,0,57.296,0
0,0,0,0,0,0,57.296,0
0,0,0,0,0,0,57.296,0
0,0,0,0,0,0,57.296,0
0,0,0,0,0,0,57.296,0
0,0,0,0,0,0,57.296,0
0,0,0,0,0,0,57.296,0
0,0,0,0,0,0,57.296,0
0,0,0,0,0,0,57.296,0
0,0,0,0,0,0,57.296,0
0,0,0,0,0,0,57.296,0
7.3,365,315,315,0,257.704,57.296,57.296
18.4,920,920,920,0,1132.232,45.472,45.472
2.5,125,125,125,0,1199.936,57.296,57.296
0.4,20,20,20,0,1162.64,57.296,57.296
1.1,55,55,55,0,1160.344,57.296,57.296
1.9,95,95,95,0,1223.174,32.17,32.17
0.1,5,5,5,0,1196.004,32.17,32.17
0.1,5,5,5,0,1168.834,32.17,32.17
0,0,0,0,0,1136.664,32.17,32.17
0,0,0,0,0,1104.494,32.17,32.17
0,0,0,0,0,1072.324,32.17,32.17
5.8,290,240,240,0,1280.154,32.17,32.17
0,0,0,0,0,1247.984,32.17,32.17
0,0,0,0,0,1215.814,32.17,32.17
0,0,0,0,0,1183.644,32.17,32.17
0,0,0,0,0,1151.474,32.17,32.17
0,0,0,0,0,1119.304,32.17,32.17
0,0,0,0,0,1087.134,32.17,32.17
0,0,0,0,0,1054.964,32.17,32.17
0,0,0,0,0,1022.794,32.17,32.17
0,0,0,0,0,990.623999999999,32.17,32.17
30.5,1525,1475,1475,0,2433.454,32.17,32.17
4.6,230,230,230,0,2631.284,32.17,32.17
1.3,65,65,65,0,2664.114,32.17,32.17
3.1,155,155,155,0,2786.944,32.17,32.17
12,600,600,245.226000000001,354.773999999999,3000,32.17,32.17
0,0,0,0,0,2967.83,32.17,32.17
0,0,0,0,0,2935.66,32.17,32.17
0,0,0,0,0,2903.49,32.17,32.17
0,0,0,0,0,2871.32,32.17,32.17
0.1,5,0,0,0,2839.15,32.17,32.17
6.1,305,260,193.02,66.9799999999996,3000,32.17,32.17
0,0,0,0,0,2967.83,32.17,32.17
0,0,0,0,0,2935.66,32.17,32.17
0,0,0,0,0,2903.49,32.17,32.17
0,0,0,0,0,2871.32,32.17,32.17
0,0,0,0,0,2861.32,10,10
0,0,0,0,0,2851.32,10,10
0,0,0,0,0,2841.32,10,10
0,0,0,0,0,2831.32,10,10
0.1,5,0,0,0,2821.32,10,10
0,0,0,0,0,2811.32,10,10
0.1,5,0,0,0,2801.32,10,10
0,0,0,0,0,2791.32,10,10
2.4,120,70,70,0,2851.32,10,10
0.5,25,25,25,0,2866.32,10,10
0.6,30,30,30,0,2886.32,10,10
0,0,0,0,0,2876.32,10,10
6.1,305,255,133.68,121.32,3000,10,10
0,0,0,0,0,2990,10,10
0,0,0,0,0,2980,10,10
0,0,0,0,0,2970,10,10
0,0,0,0,0,2960,10,10
0,0,0,0,0,2950,10,10
2.7,135,85,60,25,3000,10,10
0,0,0,0,0,2990,10,10
2.4,120,70,20,50,3000,10,10
0.8,40,40,10,30,3000,10,10
0,0,0,0,0,2990,10,10
0,0,0,0,0,2980,10,10
0,0,0,0,0,2970,10,10
0.3,15,0,0,0,2960,10,10
0,0,0,0,0,2950,10,10
0,0,0,0,0,2940,10,10
0.7,35,0,0,0,2930,10,10
3.6,180,165,80,85,3000,10,10
2.4,120,120,10.739,109.261,3000,10.739,10.739
4,200,200,10.739,189.261,3000,10.739,10.739
0,0,0,0,0,2989.261,10.739,10.739
0,0,0,0,0,2978.522,10.739,10.739
0,0,0,0,0,2967.783,10.739,10.739
0.3,15,0,0,0,2957.044,10.739,10.739
8.2,410,375,53.5102500000003,321.48975,3000,10.55425,10.55425
8.3,415,415,10.5542500000001,404.44575,3000,10.55425,10.55425
0.7,35,35,10.739,24.261,3000,10.739,10.739
8,400,400,10.739,389.261,3000,10.739,10.739
0.6,30,30,10.5542500000001,19.4457499999999,3000,10.55425,10.55425
0.2,10,10,10,0,2999.261,10.739,10.739
0,0,0,0,0,2988.522,10.739,10.739
1.1,55,5.00000000000001,5.00000000000001,0,2982.783,10.739,10.739
2.3,115,115,27.9560000000001,87.0439999999999,3000,10.739,10.739
0.4,20,20,10.5542500000001,9.44574999999986,3000,10.55425,10.55425
0,0,0,0,0,2989.261,10.739,10.739
0.7,35,0,0,0,2978.522,10.739,10.739
0.1,5,0,0,0,2967.783,10.739,10.739
1,50,40,40,0,2997.044,10.739,10.739
3.9,195,195,13.5102500000003,181.48975,3000,10.55425,10.55425
0,0,0,0,0,2989.44575,10.55425,10.55425
0,0,0,0,0,2978.8915,10.55425,10.55425
0,0,0,0,0,2968.33725,10.55425,10.55425
0,0,0,0,0,2957.783,10.55425,10.55425
0,0,0,0,0,2947.044,10.739,10.739
0.1,5,0,0,0,2936.48975,10.55425,10.55425
0,0,0,0,0,2925.9355,10.55425,10.55425
0,0,0,0,0,2915.38125,10.55425,10.55425
2.1,105,55,55,0,2959.64225,10.739,10.739
0.9,45,45,45,0,2993.90325,10.739,10.739
0.6,30,30,21.2697500000008,8.73024999999916,3000,15.173,15.173
3.8,190,190,15.1729999999998,174.827,3000,15.173,15.173
